State,Code,Bills,Details,Link,Status
Alabama,AL,HB8 and HB11,"In October 2021, the Republican-majority state board of education voted to codify a resolution banning schools from teaching ""concepts that impute fault, blame, a tendency to oppress others, or the need to feel guilt or anguish to persons solely because of their race or sex.” The resolution was first introduced in August. Rep. Chris Pringle and Rep. Danny Crawford, both Republicans, prefiled similar legislative bills for the next legislative session that would ban schools from teaching certain concepts regarding race or sex, and critical race theory.",http://alisondb.legislature.state.al.us/Alison/default.aspx,Signed
Alaska,AK,HB 228,"A bill introduced in January 2022 would ban teaching the 1619 Project, and teaching that one race or sex is ""inherently superior or",https://www.akleg.gov/basis/Bill/Text/32?Hsid=HB0228A,Proposed
Arizona,AZ,HB2898 and HCR2001,"A bill introduced in January would prevent schools from teaching that one race or ethnic group is inherently superior, that individuals are racist because of their race, and other related concepts. Similar restrictions were included in a state budget bill passed in June 2021, though the Arizona Supreme Court found these restrictions unconstitutional in November under a provision in the state's constitution requiring bills to only address one subject. The state department of education has said that the law is unenforceable.",https://apps.azleg.gov/BillStatus/BillOverview/76131,Proposed
Arkansas,AR,HB 1218,"In March 2021, Republican legislators withdrew their bill that would have prohibited teaching that promotes ""division"" between groups or ""social justice."" Arkansas passed a law in May 2021that prohibited ""divisive concepts"" in state agency training, though this does not apply to public schools.",https://legiscan.com/AR/bill/HB1218/2021,Vetoed
California,CA,N/A,N/A,N/A,None
Colorado,CO,N/A,N/A,N/A,None
Connecticut,CT,N/A,N/A,N/A,None
Delaware,DE,N/A,N/A,N/A,None
District of Columbia,DC,N/A,N/A,N/A,None
Florida,FL,SB 148 and H 7,"In December 2021, Republican Gov. Ron DeSantis announced the Stop Wrongs Against Our Kids and Employees Act, or the Stop W.O.K.E. Act, which would prevent K-12 schools from using state funding to hire consultants that adhere to ""critical race theory"" and would give parents ""private right of action"" to sue if they believed their children were being taught the theory. Two other bills proposed in January 2022 would prohibit instructional materials reviewers from recommending curricula that promote certain concepts related to race or sex. In June 2021, the state board of education voted to approve a rule that prohibits schools from teaching critical race theory and the 1619 Project.",https://www.flrules.org/Faw/FAWDocuments/FAWVOLUMEFOLDERS2021/47114/47114doc.pdf,Signed
Georgia,GA,HB 888,"In June 2021, the governor-appointed state board of education adopted a resolution against lessons that “indoctrinate” students or “promote one race or sex above another.” The resolution also opposes awarding credit for student service learning with advocacy groups. These restrictions have not been codified into rules, however. A bill proposed in January 2022 would prohibit teaching ""concepts in violation of certain federal and state anti-discrimination laws"" in schools.",🔗,Signed
Hawaii,HI,N/A,N/A,N/A,None
Idaho,ID,HB 377,"Gov. Brad Little, a Republican, signed a law in April 2021 limiting the ways that teachers can discuss race and gender and banning what the legislation called tenets of critical race theory.",https://legislature.idaho.gov/sessioninfo/2021/legislation/h0377/,Signed
Illinois,IL,N/A,N/A,N/A,None
Indiana,IN,HB 377,"Gov. Brad Little, a Republican, signed a law in April 2021 limiting the ways that teachers can discuss race and gender and banning what the legislation called tenets of critical race theory.",https://legislature.idaho.gov/sessioninfo/2021/legislation/h0377/,Proposed
Iowa,IA,"HB 1040, HB 1134, and SB 167","Indiana Republicans introduced three bills for the 2022 legislative session. One would require schools to establish curricular materials and advisory committees that include parents, allow parents to opt out of certain materials, and prohibit schools from requiring staff to teach ""divisive concepts."" The Senate version of this bill failed, though a companion bill is still moving through the House. The third bill would require schools to teach that ""socialism, Marxism, communism, totalitarianism, or similar political systems are incompatible with and in conflict with the principles of freedom upon which the United States was founded.""",🔗,Signed
Kansas,KS,N/A,N/A,N/A,None
Kentucky,KY,Bill requests 60 and 69,"Republican legislators have prefiled two bills for the 2022 session that would prohibit teaching certain concepts related to race, sex, and religion, and would subject teachers who violate the law to disciplinary action.",https://apps.legislature.ky.gov/record/22rs/prefiled/BR60.html,Signed
Louisiana,LA,HB 564,"In April 2021, Rep. Ray Garofalo (R) voluntarily deferred a bill that would ban teaching of ""divisive concepts,"" after criticism from other Louisiana lawmakers and state education officials.",https://legis.la.gov/legis/BillInfo.aspx?i=240526,Vetoed
Maine,ME,LD 550,"In February 2021, Rep. Meldon Carmichael (R) introduced a bill that would prohibit public school teachers from ""engaging in political, ideological or religious advocacy in the classroom.""",https://legislature.maine.gov/legis/bills/display_ps.asp?LD=550&snum=130,Vetoed
Maryland,MD,N/A,N/A,N/A,None
Massachusetts,MA,N/A,N/A,N/A,None
