place_info__state,count
Alabama,4
Alaska,1
Arkansas,0
Arizona,4
California,41
Colorado,9
Connecticut,4
District of Columbia,14
Delaware,0
Florida,25
Georgia,14
Hawaii,2
Iowa,2
Idaho,2
Illinois,13
Indiana,2
Kansas,4
Kentucky,8
Louisiana,2
Massachusetts,7
Maryland,9
Maine,0
Michigan,5
Minnesota,15
Missouri,2
Mississippi,4
Montana,0
North Carolina,2
North Dakota,2
Nebraska,2
New Hampshire,2
New Jersey,11
New Mexico,0
Nevada,4
New York,28
Ohio,5
Oklahoma,2
Oregon,10
Pennsylvania,8
Rhode Island,
South Carolina,1
South Dakota,0
Tennessee,4
Texas,32
Utah,1
Virginia,6
Vermont,2
Washington,18
Wisconsin,8
West Virginia,0
Wyoming,0
