id,schoolName,stateAbb,locale,totalStudents
1,HICKSVILLE HIGH SCHOOL,NY ,21-Suburb: Large,1754
2,RUSK H S,TX ,41-Rural: Fringe,597
3,MAY-PORT CG HIGH SCHOOL,ND ,43-Rural: Remote,142
4,EAST HIGH,UT ,12-City: Mid-size,1923
5,NORTH FORT MYERS HIGH SCHOOL,FL ,21-Suburb: Large,1673
6,TOMAHAWK HIGH,WI ,32-Town: Distant,418
7,PRIOR LAKE HIGH SCHOOL,MN ,21-Suburb: Large,2562
8,OOLOGAH-TALALA HS,OK ,42-Rural: Distant,563
9,JUDITH GAP HIGH SCHOOL,MT ,43-Rural: Remote,6
10,LA FERIA H S,TX ,22-Suburb: Mid-size,953
11,GLASGOW HIGH SCHOOL,MT ,41-Rural: Fringe,246
12,OAKDALE HIGH,MD ,22-Suburb: Mid-size,1229
13,BARNES COUNTY NORTH HIGH SCHOOL,ND ,43-Rural: Remote,85
14,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY ,41-Rural: Fringe,404
15,MOHONASEN SENIOR HIGH SCHOOL,NY ,21-Suburb: Large,946
16,DODGEVILLE HIGH,WI ,32-Town: Distant,412
17,TEAGUE H S,TX ,33-Town: Remote,415
18,ARCADIA HIGH SCHOOL,NY ,21-Suburb: Large,1144
19,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,NY ,31-Town: Fringe,582
20,NORTHGLENN HIGH SCHOOL,CO ,21-Suburb: Large,1923
21,PARK VISTA COMMUNITY HIGH SCHOOL,FL ,21-Suburb: Large,3035
22,LATHROP HIGH,CA ,41-Rural: Fringe,1261
23,DEL MAR HIGH,CA ,11-City: Large,1167
24,ANAMOSA HIGH SCHOOL,IA ,32-Town: Distant,384
25,RIO RANCHO HIGH,NM ,21-Suburb: Large,2387
26,TACONIC HIGH,MA ,13-City: Small,731
27,LATTA HS,OK ,41-Rural: Fringe,213
28,BROOKFIELD HIGH,MO ,41-Rural: Fringe,298
29,CARMEL HIGH SCHOOL,NY ,21-Suburb: Large,1434
30,BREMOND H S,TX ,43-Rural: Remote,151
31,JULIAN HIGH,CA ,42-Rural: Distant,157
32,RED RIVER HIGH SCHOOL,ND ,13-City: Small,1141
33,ROBERTSDALE HIGH SCH,AL ,31-Town: Fringe,1369
34,LATHROP HIGH SCHOOL,AK ,13-City: Small,1040
35,ATHOL HIGH,MA ,31-Town: Fringe,358
36,SAVAGE HIGH SCHOOL,MT ,43-Rural: Remote,36
37,BEGGS HS,OK ,42-Rural: Distant,351
38,BELTON H S,TX ,23-Suburb: Small,2711
39,MILTON HIGH,WI ,23-Suburb: Small,1075
40,SOUTHERN COLUMBIA HS,PA ,41-Rural: Fringe,409
41,COMO PARK SENIOR HIGH,MN ,11-City: Large,1307
42,ELSBERRY HIGH,MO ,42-Rural: Distant,232
43,PORT JERVIS SENIOR HIGH SCHOOL,NY ,41-Rural: Fringe,827
44,LONGMONT HIGH SCHOOL,CO ,23-Suburb: Small,1188
45,ELKO HIGH SCHOOL,NV ,33-Town: Remote,1295
46,IRONTON HIGH SCHOOL,OH ,22-Suburb: Mid-size,396
47,SOUTH JEFFERSON HIGH SCHOOL,NY ,41-Rural: Fringe,611
48,SIMSBURY HIGH SCHOOL,CT ,21-Suburb: Large,1423
